id,original_language,original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,genre
912649,en,Venom: The Last Dance,"Eddie et Venom sont en cavale. Chacun est traqué par ses semblables et alors que l'étau se resserre, le duo doit prendre une décision dévastatrice qui annonce la conclusion des aventures d'Eddie et de Venom.",12413.089,/uucVm4TBM07apHYoMwHnmvL5Mre.jpg,2024-10-22,Venom - The Last Dance,6.7,1214,"['Action', 'Science-Fiction', 'Aventure']"
1241982,en,Moana 2,"Vaiana 2 embarquera les spectateurs dans un périple inédit en compagnie de Vaiana, Maui et d’un improbable nouvel équipage de marins. Après avoir reçu un appel inattendu de ses ancêtres, la jeune femme entreprend un voyage qui la conduira jusqu’aux eaux dangereuses des confins des mers d’Océanie pour y vivre une aventure comme jamais vécue auparavant.",3983.756,/usdwoEwm68cdeMOvGFPwSk9nLTr.jpg,2024-11-21,Vaiana 2,6.8,432,"['Animation', 'Aventure', 'Familial', 'Comédie']"
1035048,en,Elevation,"Les survivants d’une invasion extra-terrestre mortelle par des créatures monstrueuses vivent une existence primitive dans les hauteurs des Montagnes Rocheuses postapocalyptiques. C’est le seul endroit où ils sont saufs, les monstres ne montent pas au-delà de 2500 mètres d’altitude pour une raison inexpliquée. Lorsqu’un père découvre qu’il ne reste que très peu des médicaments dont son fils a besoin, il doit quitter les montagnes et leur sécurité pour trouver un nouveau stock avant que son fils ne meure. Deux femmes courageuses l’accompagnent dans cette mission dangereuse en basse altitude.",2332.82,/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg,2024-11-07,Elevation,6.421,127,"['Action', 'Science-Fiction', 'Thriller']"
974453,en,Absolution,"Ancien boxeur, Thug travaille depuis plus de trente ans comme homme de main pour un bandit de Boston et s'occupe notamment de la perception de dettes auprès de ses clients. Une consultation chez un médecin spécialiste lui révèle qu'il souffre d'encéphalopathie traumatique chronique. Se sentant impuissant devant sa mémoire qui décline, il cherche à reprendre contact avec ses enfants, dont sa fille Daisy, jeune mère de famille monoparentale, qui se montre réticente à renouer avec ce père absent.",1601.995,/heZRwC7AgsANwOGyyjBHkwmmc0P.jpg,2024-10-31,Absolution,6.0,121,"['Action', 'Crime', 'Thriller']"
1182387,en,Armor,Un père et son fils travaillent comme agents de sécurité pour une société de camions blindés. Ils rencontrent une équipe de voleurs sur un pont et se retrouvent piégés…,1374.715,/jmNBQ8GaQ4pzxPfZ4Lp1uJrcAE.jpg,2024-10-30,Armor,5.645,55,"['Action', 'Crime', 'Thriller']"
1299652,en,Watchmen: Chapter II,"Soupçonnant les événements qui ont piégé leurs anciens collègues, Nite Owl et Silk Spectre sont poussés à sortir de leur retraite pour enquêter. Alors qu'ils sont aux prises avec leur éthique personnelle, leurs démons intérieurs et une société qui se retourne contre eux, ils se démènent pour découvrir un complot qui pourrait déclencher une guerre nucléaire mondiale.",1231.205,/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg,2024-11-25,Watchmen: Chapter II,7.7,45,"['Animation', 'Mystère', 'Science-Fiction', 'Action']"
957119,en,Sidelined: The QB and Me,,1150.68,/hklQwv6QVoOp5bWyh1bjuF2ydyG.jpg,2024-11-29,Sidelined: The QB and Me,6.6,60,"['Comédie', 'Romance', 'Téléfilm']"
1147416,fr,"Miraculous World : Londres, la course contre le temps","Afin de sauver l'avenir d'un terrible sort, Marinette devient Chronobug et fait équipe avec Bunnyx pour vaincre un mystérieux adversaire qui voyage dans le temps. Qui est ce nouveau super-méchant, et pourquoi est-il déterminé à dévoiler l'identité secrète de super-héros de Marinette ? Le seul espoir de Marinette est de vaincre son nouvel ennemi pour empêcher la fin de la Coccinelle et des temps !",1077.988,/imGI4R15rMl8B3wPROwkVuJDsc2.jpg,2024-11-14,"Miraculous World : Londres, la course contre le temps",8.6,36,"['Animation', 'Aventure', 'Action', 'Fantastique']"
558449,en,Gladiator II,"Des années après avoir assisté à la mort du héros vénéré Maximus aux mains de son oncle, Lucius est forcé d'entrer dans le Colisée lorsque son pays est conquis par les empereurs tyranniques qui gouvernent désormais Rome d'une main de fer. La rage au cœur et l'avenir de l'Empire en jeu, Lucius doit se tourner vers son passé pour trouver la force et l'honneur de rendre la gloire de Rome à son peuple.",1060.198,/rTa9otCuUwcJKoI78SkleDUC0pH.jpg,2024-11-05,Gladiator II,6.7,1019,"['Action', 'Aventure', 'Histoire']"
1184918,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",982.537,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,2024-09-08,The Wild Robot,8.397,3376,"['Animation', 'Action', 'Science-Fiction', 'Familial']"
